Latitude,Longitude,Address,Description
40.703591,-73.984643,36 Bridge St,36 Bridge St<BR>Racks: 1 small
40.703187,-73.984665,50 Bridge St,50 Bridge St<BR>Racks: 1 large
40.702216,-73.984701,73 Bridge St,73 Bridge St<BR>Racks: 1 small
40.702057,-73.984712,79 Bridge St,79 Bridge St<BR>Racks: 1 large
40.70179,-73.98473,89 Bridge St,89 Bridge St<BR>Racks: 1 small
40.704247,-73.984603,18 Bridge St,18 Bridge St<BR>Racks: 1 small
40.702557,-73.991063,63 Front St,63 Front St<BR>Racks: 1 small
40.702587,-73.992686,20 Front St,20 Front St<BR>Racks: 1 small
40.702554,-73.990958,67 Front St,67 Front St<BR>Racks: 1 small
40.70439,-73.986154,50 John St,50 John St<BR>Racks: 1 large
40.70436,-73.985288,80 John St,80 John St<BR>Racks: 1 large
40.703811,-73.987925,135 Plymouth St,135 Plymouth St<BR>Racks: 1 small
40.702417,-73.987622,81 Pearl St,81 Pearl St<BR>Racks: 1 small
40.702678,-73.990702,42 Main St,42 Main St<BR>Racks: 1 small
40.704711,-73.990464,1 Main St,1 Main St<BR>Racks: 1 small
40.701816,-73.988596,85 Adams St,85 Adams St<BR>Racks: 1 large
40.647947,-73.964591,109 East 16th St,109 East 16th St<BR>Racks: 5 small
40.736301,-73.994342,12 West 14th St,12 West 14th St<BR>Racks: 3 small
40.691506,-73.986297,151 Lawrence St,151 Lawrence St<BR>Racks: 1 small
40.686563,-73.990023,81 Bergen St,81 Bergen St<BR>Racks: 1 small
40.686563,-73.990023,81 Bergen St,81 Bergen St<BR>Racks: 1 small
40.686925,-73.990942,65 Bergen st,65 Bergen st<BR>Racks: 1 small
40.686925,-73.990942,65 Bergen st,65 Bergen st<BR>Racks: 1 small
40.665217,-73.989615,562 5th Ave,562 5th Ave<BR>Racks: 1 small
40.664797,-73.989489,184 16th St,184 16th St<BR>Racks: 1 small
40.660088,-73.979747,446 16th St,446 16th St<BR>Racks: 1 small
40.664509,-73.988894,200 16th St,200 16th St<BR>Racks: 1 small
40.659344,-73.979928,153 Windsor Pl,153 Windsor Pl<BR>Racks: 1 small
40.679752,-73.968121,564 Vanderbilt Ave,564 Vanderbilt Ave<BR>Racks: 1 small
40.805363,-73.935722,165 East 127th St,165 East 127th St<BR>Racks: 2 small
40.706787,-74.005114,180 Water St,180 Water St<BR>Racks: 4 small
40.705155,-74.015585,2 Washington Street,"2 Washington Street<BR>Racks: 1 large, 2 small"
40.675026,-73.97121,5 Plaza St West,5 Plaza St West<BR>Racks: 1 small
40.675474,-73.970647,10 Plaza Street East,10 Plaza Street East<BR>Racks: 1 small
40.675026,-73.97121,5 Plaza St West,5 Plaza St West<BR>Racks: 1 small
40.726967,-73.978306,648 E 11th St,648 E 11th St<BR>Racks: 1 small
40.72681,-73.990872,57 E 4th St,57 E 4th St<BR>Racks: 1 small
40.726779,-73.9908,59 E 4th St,59 E 4th St<BR>Racks: 1 small
40.726724,-73.99071,62 E 4th St,62 E 4th St<BR>Racks: 1 small
40.726571,-73.990306,73 E 4th St,73 E 4th St<BR>Racks: 1 small
40.726476,-73.989923,79 E $th St - bad address,79 E $th St - bad address<BR>Racks: 1 small
40.72639,-73.989927,80 E 4th St,80 E 4th St<BR>Racks: 1 small
40.843465,-73.835972,2819 middletown Rd,"2819 middletown Rd<BR>Racks: 1 large, small"
40.683749,-73.982816,275 Bergen St,275 Bergen St<BR>Racks: 2 small
40.726041,-73.989548,65 2nd Ave,65 2nd Ave<BR>Racks: 1 small
40.72592,-73.989635,61 2nd Ave,61 2nd Ave<BR>Racks: 1 small
40.72586,-73.989682,59 2nd Ave,59 2nd Ave<BR>Racks: 1 small
40.725882,-73.989638,62 2nd Ave,62 2nd Ave<BR>Racks: 1 small
40.725827,-73.989678,60 2nd Ave,60 2nd Ave<BR>Racks: 1 small
40.725256,-73.989076,53 E 3rd St,53 E 3rd St<BR>Racks: 1 small
40.72617,-73.991283,8 E 3rd St,8 E 3rd St<BR>Racks: 1 small
40.726079,-73.991024,13 E 3rd St,13 E 3rd St<BR>Racks: 1 small
40.726211,-73.991341,5 E 3rd St,5 E 3rd St<BR>Racks: 1 small
40.726211,-73.991341,5 E 3rd St,5 E 3rd St<BR>Racks: 1 small
40.727438,-73.99142,12 Cooper Square,12 Cooper Square<BR>Racks: 1 small
40.724596,-73.983751,519 E 5th St,519 E 5th St<BR>Racks: 1 small
40.723432,-73.980955,619 E 5th St,619 E 5th St<BR>Racks: 1 small
40.57353,-73.987448,3050 West 21st St,3050 West 21st St<BR>Racks: 3 small
40.718831,-73.975401,525 E Houston St,525 E Houston St<BR>Racks: 1 small
40.778846,-73.980054,167 West 73rd St,167 West 73rd St<BR>Racks: 1 small
40.73625,-73.980987,315 E 21st St,315 E 21st St<BR>Racks: 1 small
40.670904,-73.974157,274 Garfield pl,274 Garfield pl<BR>Racks: 1 small
40.761886,-73.968421,731 Lexington Ave,731 Lexington Ave<BR>Racks: 1 small
40.665572,-73.978877,516 9th St,516 9th St<BR>Racks: 1 small
40.745878,-73.977996,509 3rd Ave,509 3rd Ave<BR>Racks: 1 small
40.843408,-73.836626,2801 Middletown Rd,2801 Middletown Rd<BR>Racks: 1 large
40.716767,-73.964713,51 N 1st St,51 N 1st St<BR>Racks: 1 small
40.710581,-73.966426,60 Broadway,60 Broadway<BR>Racks: 2 large
40.691635,-73.971195,47 Willoughby Ave,47 Willoughby Ave<BR>Racks: 3 small
40.716838,-74.012117,199 Chambers St.,199 Chambers St.<BR>Racks: 1 small
40.87647,-73.903745,3008 Bailey Ave,3008 Bailey Ave<BR>Racks: 1 small
40.877526,-73.902847,3071 Bailey Ave,3071 Bailey Ave<BR>Racks: 1 large
